"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"China","CHN","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","5.55183493257033","5.47841086557224","5.34707054459794","5.19109414872823","5.05246492277647","4.94823033285794","4.82530494431089","4.73701743624097","4.67797323532917","4.64195929454122","4.62673278579379","4.62488193015655","4.65425928941241","4.69525152543118","4.72487369979605","4.73172561647407","4.73017161578644","4.71273344477775","4.68267297210918","4.64361469398891","4.59905518020632","4.55716219541662","4.50429061789298","4.46257705472261","4.4597227228453","4.51033360541659","4.59480750535013","4.71241156538729","4.87524928843854","5.10484652385317","5.40906608751533","5.75757465046691","6.21376425073466","6.6900490608034","7.05048519024324","7.21932869302481","7.27541127920456","7.12320768275717","6.87150830168987","6.68377798673254","6.65000490719528","6.70925388531539","6.89806428699422","7.18649183854839","7.51776414487004","7.85378845676828","8.21107684933153","8.58620322477198","8.93621196227395","9.20668808286633","9.36297080635002","9.40797844430216","9.34767684225439","9.18946761758764","8.94752091163133","8.63759036734294","8.26400957539143","7.82634187378729","7.37561701331899","",
"China","CHN","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.91949414102579","5.90519221250737","5.8987494720499","5.90304184900742","5.9198732847757","5.94303429142547","5.90143826492575","5.87647813607182","5.85708993766118","5.82903037553608","5.78761258778068","5.72869288063987","5.6745897135973","5.61657554459168","5.54767522120903","5.46787535480333","5.38665023878306","5.29975142569611","5.22586495541586","5.18922768409315","5.20397818726729","5.27218406633674","5.36320519661271","5.49947839606763","5.71038345694732","6.00226422786252","6.35248527609149","6.78656577227291","7.21946667873596","7.53527865801691","7.67720006380624","7.63178581776169","7.45529564637155","7.21739077763114","7.03210160257936","6.97337442323394","7.07849403333398","7.26246355007724","7.51452508394327","7.81185684329303","8.1314120399843","8.43244137934378","8.7684009982863","9.09766550811933","9.35543406331553","9.50343496478859","9.56359459015633","9.5276996704884","9.39530651691272","9.1738851383874","8.87358231624894","8.50023496762918","8.05205222901406","7.58434184559221","7.17634257074151","6.87964252122073","6.68584404250165","6.58394624819446","6.58737402987419","",
"China","CHN","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","5.73853634673629","5.6770728962925","5.59882295339408","5.52422688533499","5.47710446910797","5.46210469211396","5.42309987514018","5.42154209924807","5.43419368987364","5.43039502353003","5.39723729558393","5.3337654120754","5.26477752270258","5.18872764786136","5.10827193425368","5.0288287996771","4.96128915076085","4.89363955441207","4.84643099328424","4.8460326920848","4.9066211560577","5.02705636418212","5.18054135854707","5.3811232760755","5.64645651760044","5.97647102813758","6.35205508320852","6.79649575215922","7.22917942358362","7.54166815045282","7.68183761507624","7.63513794291116","7.45789615324503","7.21924720849614","7.03252036653817","6.97200368213838","7.07743323947178","7.26025425078191","7.51352141563501","7.81981363508347","8.15854278245946","8.49061700334908","8.87001656341434","9.24570337158374","9.53800979009661","9.69993734497686","9.75446413958653","9.69256747037589","9.52233313884504","9.26535734827313","8.94030662931641","8.54830523530819","8.08953668657842","7.61740915405646","7.20697566956354","6.90693946453173","6.70926734063672","6.60415462148564","6.60348009321139","",
"China","CHN","Population ages 30-34, male (% of male population)","SP.POP.3034.MA.5Y","6.78098196793891","6.84190381600704","6.8526744130401","6.83025930672323","6.79969186225187","6.76767030695597","6.65402023019993","6.5551984562648","6.45810217069883","6.34482679650766","6.2128759830225","6.06069814744697","5.91037451583305","5.77900455116415","5.69537954969714","5.6777594577351","5.72251283693697","5.80955436210779","5.95737380641353","6.19088850676736","6.51455887151304","6.93815668439793","7.45021112831572","7.95833081611548","8.32595898274844","8.47744272659683","8.41673822417909","8.15447144344172","7.80156218741459","7.52529016949502","7.42254859874476","7.43172124068417","7.6063767391729","7.89655758309627","8.22127457842569","8.52859010999072","8.90192260073424","9.2417881676448","9.53204309638051","9.75851744870783","9.90538639632385","9.92357958150393","9.87649064087855","9.75262467951788","9.53348470165808","9.21974366991331","8.8351716312193","8.36529202948394","7.86940703791985","7.43610716676135","7.12053394545723","6.91269231621612","6.80051896820821","6.79716608688634","6.91669192752225","7.15720858046797","7.52079326813008","8.02559797531985","8.54957942678603","",
"China","CHN","Population ages 30-34, female (% of female population)","SP.POP.3034.FE.5Y","6.28353306689304","6.32810170158146","6.35620484101311","6.36745694820749","6.36045818176311","6.32861303861929","6.21541657752196","6.09752541159028","5.97338132567958","5.84213424575905","5.71041690772324","5.57151230139573","5.44689318084338","5.35234623846394","5.31424205723398","5.34889266959681","5.45647414909468","5.61217800429331","5.82787784396567","6.11914460152972","6.48471046124885","6.93184319368615","7.45287431252332","7.95975443901724","8.32244176714909","8.46965885770547","8.40581227980511","8.1410194170184","7.78624140713551","7.50856591188205","7.40508543194072","7.41267206415389","7.5855797634698","7.87722909520034","8.21116701382536","8.53724762781096","8.94030754108529","9.31914010121227","9.64890268162137","9.90294505787199","10.0583392074591","10.0692233360074","9.99683741059558","9.83741945053317","9.58544224985625","9.25005957139984","8.85267258558141","8.37932837410493","7.88636207826775","7.45723640082701","7.14383843734335","6.93518430922208","6.82141733090043","6.81496482450551","6.9288360570457","7.1601120613956","7.51015825738993","7.99868180234186","8.50157740476644","",
"China","CHN","Population ages 25-29, male (% of male population)","SP.POP.2529.MA.5Y","7.66635949643384","7.66499494462545","7.59992125420558","7.49158411750535","7.3656514648418","7.23154306854008","7.01069018812342","6.80250858757174","6.62330140017985","6.49556389610081","6.43654177000683","6.42354574345999","6.46409234368324","6.57347701504385","6.78033028474882","7.09293147058978","7.51386237047274","8.05089726594752","8.60002059180247","9.00588881677871","9.18233905275887","9.17458535216611","8.93535112165555","8.5855378718122","8.30212887299191","8.18441508979343","8.18260595834178","8.30475181601874","8.52026840832654","8.78310008447664","9.06436369156913","9.33234656781881","9.66501623926565","10.0016466167483","10.2549860474204","10.3750184951593","10.4616232231692","10.3953512619635","10.2047437107158","9.93222629504175","9.59974906331589","9.15926229937211","8.66485431608404","8.16391267995541","7.72433019816566","7.39591511690292","7.18208929387896","7.06148935415461","7.04853377319179","7.1624766827845","7.40283710495682","7.76945357711065","8.28129745190247","8.81234988491505","9.17338321638498","9.25445094652695","9.07967383891885","8.62855915886985","8.01549171581746","",
"China","CHN","Population ages 25-29, female (% of female population)","SP.POP.2529.FE.5Y","7.22810930012576","7.20296132354239","7.10228703672736","6.95661530029104","6.80442569797835","6.66222372800826","6.46251234767245","6.282487591598","6.13991026872514","6.05967209874268","6.05903849256703","6.11331885045738","6.23274672800081","6.42267126065454","6.69704772215596","7.05609504591135","7.50973688686871","8.05821130498899","8.60401617954165","9.00277806637192","9.17487723496101","9.15910960312106","8.91486264641435","8.56219454412112","8.27593886736705","8.15495230394784","8.15054171623849","8.26964811835662","8.48534184685344","8.75714587644901","9.0585890537406","9.35405657105728","9.72618539695334","10.104809129784","10.3873527654474","10.5147421823432","10.5918553981021","10.4929294378581","10.2577266758457","9.94549222157651","9.58751247945037","9.13475759262163","8.63988063882845","8.14615806774932","7.71499329510591","7.39251703501031","7.18312759173336","7.06631847427924","7.05542237978242","7.16844501426236","7.40388936621909","7.75990865351318","8.2571081048711","8.76797959080186","9.10125290205025","9.1461553645402","8.92682240708803","8.42328176303302","7.754961873851","",
"China","CHN","Population ages 20-24, male (% of male population)","SP.POP.2024.MA.5Y","8.16712225949098","8.05386577039089","7.8663514154757","7.66218747576148","7.51637739924256","7.46371976341076","7.40584042509586","7.41939097413644","7.51712557646976","7.71849986219236","8.02726081378896","8.41841164452029","8.93939996217719","9.46898217985214","9.84292634371985","9.97917609916096","9.91923333915525","9.6416764666937","9.26587638693276","8.9694523314068","8.85482744125552","8.90896814061801","9.08960527693205","9.36615160223475","9.67954288655743","9.98454676860683","10.264498143035","10.5412700878342","10.7801079952553","10.944140686106","11.0156329003532","10.9563443470948","10.8606252781477","10.6971116883251","10.4276330277947","10.0457412451881","9.6476497877166","9.11364908674195","8.53822019235792","8.04541054917688","7.70054270272472","7.44499027845817","7.31319805774698","7.31002100909395","7.43608802897366","7.68326778943062","8.06404311897015","8.58846285878807","9.12575636580354","9.48661778228552","9.56103008802843","9.37120410616457","8.89818736009394","8.25985386317915","7.64675503330242","7.17841235935038","6.83181986752794","6.61186982665233","6.48441703875167","",
"China","CHN","Population ages 20-24, female (% of female population)","SP.POP.2024.FE.5Y","7.5596132456781","7.44502125785634","7.27983678539807","7.11830892588147","7.02932796092698","7.04321613612283","7.06827864623355","7.16931496768356","7.35059743574499","7.62062580459787","7.97754288694542","8.3970620194417","8.93108398126669","9.46320115521718","9.83482478869144","9.96726956226292","9.90803213488286","9.62609163261304","9.24376330045564","8.94165746893703","8.82332716305052","8.87025666245389","9.04513020480545","9.32053205148866","9.64174684669181","9.96554600903739","10.2750903768411","10.5933968474136","10.8749439654166","11.0680943885331","11.1473990681643","11.0730072229267","10.9429588721554","10.7348555507353","10.4250933547121","10.0164551570491","9.6041426791067","9.06588657429292","8.49369586981625","8.00635470034944","7.66553158499893","7.41500886545477","7.28864925662428","7.28980567785462","7.41721322125271","7.66156239467634","8.03485583089841","8.54852638512228","9.07032041174481","9.40851577222491","9.45167324536239","9.21995429044228","8.6949111237725","8.00058427833824","7.33675116604156","6.8284439640022","6.45193988798846","6.21312805959431","6.07386673317812","",
"China","CHN","Population ages 15-64 (% of total population)","SP.POP.1564.TO.ZS","56.4892986405363","56.4143062276544","56.0432071621243","55.5933222615383","55.3484291751092","55.3978086362411","55.1412106991901","55.220927981574","55.4836421844082","55.7189807252953","55.8447515133113","55.7589527900659","55.7148201417085","55.7144514794786","55.818037641589","56.0742408817335","56.5183714294269","57.0748641292558","57.7509512644756","58.5326552392617","59.3901469202396","60.3857280199302","61.3441723251584","62.2745737059581","63.1587992460689","63.9538247533856","64.4721593263051","64.8862528854118","65.204299371925","65.4834896349352","65.7801209331756","65.7534569422324","66.0062009830746","66.3865469949467","66.692144869631","66.8435300734225","67.3888722165788","67.5670010754361","67.6097578712472","67.8441287833647","68.3994264262824","68.8457063371142","69.6382031793899","70.6183595778575","71.5088523199023","72.1640797381751","72.6735800146097","72.9853668548011","73.1296112760178","73.2057255394451","73.26558948405","73.2309997808867","73.1770279539402","73.0809292040303","72.8992407406556","72.61433377299","72.2027527736548","71.7175184402221","71.2021137123803","",
